Source,Label,Weight,Target
Albania,Muslim extremists,1,Syria
Albania,Muslim extremists,1,Tanzania
Albania,Muslim extremists,1,Thailand
Albania,Muslim extremists,1,Tunisia
Albania,Muslim extremists,1,Turkey
Albania,Muslim extremists,1,Ukraine
Albania,Muslim extremists,1,United Kingdom
Albania,Muslim extremists,1,United States
Albania,Muslim extremists,1,West Bank and Gaza Strip
Albania,Muslim extremists,1,Yemen
Algeria,Gunmen,22,Angola
Algeria,Gunmen,22,Argentina
Algeria,Gunmen,22,Bangladesh
Algeria,Gunmen,22,Brazil
Algeria,Gunmen,22,Cambodia
Algeria,Gunmen,22,Canada
Algeria,Gunmen,22,Central African Republic
Algeria,Gunmen,22,Chad
Algeria,Gunmen,22,Colombia
Algeria,Gunmen,22,Costa Rica
Algeria,Gunmen,22,Democratic Republic of the Congo
Algeria,Gunmen,22,El Salvador
Algeria,Gunmen,22,Georgia
Algeria,Gunmen,22,Guatemala
Algeria,Gunmen,22,Guyana
Algeria,Gunmen,22,Haiti
Algeria,Gunmen,22,Honduras
Algeria,Gunmen,22,India
Algeria,Gunmen,22,Indonesia
Algeria,Gunmen,22,Iraq
Algeria,Gunmen,22,Israel
Algeria,Gunmen,22,Jamaica
Algeria,Gunmen,22,Kazakhstan
Algeria,Gunmen,22,Kosovo
Algeria,Gunmen,22,Laos
Algeria,Gunmen,22,Lebanon
Algeria,Gunmen,22,Mexico
Algeria,Gunmen,22,Mozambique
Algeria,Gunmen,22,Nicaragua
Algeria,Gunmen,22,Nigeria
Algeria,Gunmen,22,Pakistan
Algeria,Gunmen,22,Philippines
Algeria,Gunmen,22,Russia
Algeria,Gunmen,22,Somalia
Algeria,Gunmen,22,South Africa
Algeria,Gunmen,22,Sri Lanka
Algeria,Gunmen,22,Sudan
Algeria,Gunmen,22,Syria
Algeria,Gunmen,22,Tajikistan
Algeria,Gunmen,22,Tanzania
Algeria,Gunmen,22,Thailand
Algeria,Gunmen,22,Turkey
Algeria,Gunmen,22,Turkmenistan
Algeria,Gunmen,22,Ukraine
Algeria,Gunmen,22,West Bank and Gaza Strip
Algeria,Gunmen,22,Yemen
Algeria,Gunmen,22,Yugoslavia
Algeria,Gunmen,22,Zimbabwe
Algeria,Muslim extremists,19,Australia
Algeria,Muslim extremists,19,Austria
Algeria,Muslim extremists,19,Bahrain
Algeria,Muslim extremists,19,Bangladesh
Algeria,Muslim extremists,19,Belgium
Algeria,Muslim extremists,19,Bosnia-Herzegovina
Algeria,Muslim extremists,19,Burkina Faso
Algeria,Muslim extremists,19,Cameroon
Algeria,Muslim extremists,19,Canada
Algeria,Muslim extremists,19,Central African Republic
Algeria,Muslim extremists,19,Egypt
Algeria,Muslim extremists,19,France
Algeria,Muslim extremists,19,Germany
Algeria,Muslim extremists,19,Greece
Algeria,Muslim extremists,19,India
Algeria,Muslim extremists,19,Indonesia
Algeria,Muslim extremists,19,Iran
Algeria,Muslim extremists,19,Iraq
Algeria,Muslim extremists,19,Israel
Algeria,Muslim extremists,19,Jordan
Algeria,Muslim extremists,19,Kazakhstan
Algeria,Muslim extremists,19,Kenya
Algeria,Muslim extremists,19,Kuwait
Algeria,Muslim extremists,19,Kyrgyzstan
Algeria,Muslim extremists,19,Lebanon
Algeria,Muslim extremists,19,Libya
Algeria,Muslim extremists,19,Maldives
Algeria,Muslim extremists,19,Mali
Algeria,Muslim extremists,19,Mozambique
Algeria,Muslim extremists,19,Myanmar
Algeria,Muslim extremists,19,Netherlands
Algeria,Muslim extremists,19,Niger
Algeria,Muslim extremists,19,Nigeria
Algeria,Muslim extremists,19,Pakistan
Algeria,Muslim extremists,19,Philippines
Algeria,Muslim extremists,19,Russia
Algeria,Muslim extremists,19,Saudi Arabia
Algeria,Muslim extremists,19,Somalia
Algeria,Muslim extremists,19,South Africa
Algeria,Muslim extremists,19,Spain
Algeria,Muslim extremists,19,Sri Lanka
Algeria,Muslim extremists,19,Sudan
Algeria,Muslim extremists,19,Switzerland
Algeria,Muslim extremists,19,Syria
Algeria,Muslim extremists,19,Tanzania
Algeria,Muslim extremists,19,Thailand
Algeria,Muslim extremists,19,Tunisia
Algeria,Muslim extremists,19,Turkey
Algeria,Muslim extremists,19,Ukraine
Algeria,Muslim extremists,19,United Kingdom
Algeria,Muslim extremists,19,United States
Algeria,Muslim extremists,19,West Bank and Gaza Strip
Algeria,Muslim extremists,19,Yemen
Algeria,Popular Front for the Liberation of Palestine PFLP,1,Austria
Algeria,Popular Front for the Liberation of Palestine PFLP,1,France
Algeria,Popular Front for the Liberation of Palestine PFLP,1,Greece
Algeria,Popular Front for the Liberation of Palestine PFLP,1,Iran
Algeria,Popular Front for the Liberation of Palestine PFLP,1,Israel
Algeria,Popular Front for the Liberation of Palestine PFLP,1,Italy
Algeria,Popular Front for the Liberation of Palestine PFLP,1,Jordan
Algeria,Popular Front for the Liberation of Palestine PFLP,1,Kenya
Algeria,Popular Front for the Liberation of Palestine PFLP,1,Kuwait
Algeria,Popular Front for the Liberation of Palestine PFLP,1,Lebanon
Algeria,Popular Front for the Liberation of Palestine PFLP,1,Netherlands
Algeria,Popular Front for the Liberation of Palestine PFLP,1,South Yemen
Algeria,Popular Front for the Liberation of Palestine PFLP,1,Switzerland
Algeria,Popular Front for the Liberation of Palestine PFLP,1,Syria
Algeria,Popular Front for the Liberation of Palestine PFLP,1,Turkey
Algeria,Popular Front for the Liberation of Palestine PFLP,1,United Kingdom
Algeria,Popular Front for the Liberation of Palestine PFLP,1,United States
Algeria,Popular Front for the Liberation of Palestine PFLP,1,West Bank and Gaza Strip
Algeria,Popular Front for the Liberation of Palestine PFLP,1,West Germany (FRG)
Angola,Gunmen,1,Argentina
Angola,Gunmen,1,Bangladesh
Angola,Gunmen,1,Brazil
Angola,Gunmen,1,Cambodia
Angola,Gunmen,1,Canada
Angola,Gunmen,1,Central African Republic
Angola,Gunmen,1,Chad
Angola,Gunmen,1,Colombia
Angola,Gunmen,1,Costa Rica
Angola,Gunmen,1,Democratic Republic of the Congo
Angola,Gunmen,1,El Salvador
Angola,Gunmen,1,Georgia
Angola,Gunmen,1,Guatemala
Angola,Gunmen,1,Guyana
Angola,Gunmen,1,Haiti
Angola,Gunmen,1,Honduras
Angola,Gunmen,1,India
Angola,Gunmen,1,Indonesia
Angola,Gunmen,1,Iraq
Angola,Gunmen,1,Israel
Angola,Gunmen,1,Jamaica
Angola,Gunmen,1,Kazakhstan
Angola,Gunmen,1,Kosovo
Angola,Gunmen,1,Laos
Angola,Gunmen,1,Lebanon
Angola,Gunmen,1,Mexico
Angola,Gunmen,1,Mozambique
Angola,Gunmen,1,Nicaragua
Angola,Gunmen,1,Nigeria
Angola,Gunmen,1,Pakistan
Angola,Gunmen,1,Philippines
Angola,Gunmen,1,Russia
Angola,Gunmen,1,Somalia
Angola,Gunmen,1,South Africa
Angola,Gunmen,1,Sri Lanka
Angola,Gunmen,1,Sudan
Angola,Gunmen,1,Syria
Angola,Gunmen,1,Tajikistan
Angola,Gunmen,1,Tanzania
Angola,Gunmen,1,Thailand
Angola,Gunmen,1,Turkey
Angola,Gunmen,1,Turkmenistan
Angola,Gunmen,1,Ukraine
Angola,Gunmen,1,West Bank and Gaza Strip
Angola,Gunmen,1,Yemen
Angola,Gunmen,1,Yugoslavia
Angola,Gunmen,1,Zimbabwe
Argentina,Black September,5,Australia
Argentina,Black September,5,Austria
Argentina,Black September,5,Belgium
Argentina,Black September,5,Brazil
Argentina,Black September,5,Brunei
Argentina,Black September,5,Cambodia
Argentina,Black September,5,Canada
Argentina,Black September,5,Cyprus
Argentina,Black September,5,Egypt
Argentina,Black September,5,France
Argentina,Black September,5,Greece
Argentina,Black September,5,Israel
Argentina,Black September,5,Italy
Argentina,Black September,5,Jordan
Argentina,Black September,5,Kuwait
Argentina,Black September,5,Lebanon
Argentina,Black September,5,Netherlands
Argentina,Black September,5,People's Republic of the Congo
Argentina,Black September,5,Portugal
Argentina,Black September,5,Spain
Argentina,Black September,5,Sudan
Argentina,Black September,5,Switzerland
Argentina,Black September,5,Thailand
Argentina,Black September,5,United Kingdom
Argentina,Black September,5,United States
Argentina,Black September,5,Uruguay
Argentina,Black September,5,West Germany (FRG)
Argentina,Black September,5,Zaire
Argentina,Gunmen,1,Bangladesh
Argentina,Gunmen,1,Brazil
Argentina,Gunmen,1,Cambodia
Argentina,Gunmen,1,Canada
Argentina,Gunmen,1,Central African Republic
Argentina,Gunmen,1,Chad
Argentina,Gunmen,1,Colombia
Argentina,Gunmen,1,Costa Rica
Argentina,Gunmen,1,Democratic Republic of the Congo
Argentina,Gunmen,1,El Salvador
Argentina,Gunmen,1,Georgia
Argentina,Gunmen,1,Guatemala
Argentina,Gunmen,1,Guyana
Argentina,Gunmen,1,Haiti
Argentina,Gunmen,1,Honduras
Argentina,Gunmen,1,India
Argentina,Gunmen,1,Indonesia
Argentina,Gunmen,1,Iraq
Argentina,Gunmen,1,Israel
Argentina,Gunmen,1,Jamaica
Argentina,Gunmen,1,Kazakhstan
Argentina,Gunmen,1,Kosovo
Argentina,Gunmen,1,Laos
Argentina,Gunmen,1,Lebanon
Argentina,Gunmen,1,Mexico
Argentina,Gunmen,1,Mozambique
Argentina,Gunmen,1,Nicaragua
Argentina,Gunmen,1,Nigeria
Argentina,Gunmen,1,Pakistan
Argentina,Gunmen,1,Philippines
Argentina,Gunmen,1,Russia
Argentina,Gunmen,1,Somalia
Argentina,Gunmen,1,South Africa
Argentina,Gunmen,1,Sri Lanka
Argentina,Gunmen,1,Sudan
Argentina,Gunmen,1,Syria
Argentina,Gunmen,1,Tajikistan
Argentina,Gunmen,1,Tanzania
Argentina,Gunmen,1,Thailand
Argentina,Gunmen,1,Turkey
Argentina,Gunmen,1,Turkmenistan
Argentina,Gunmen,1,Ukraine
Argentina,Gunmen,1,West Bank and Gaza Strip
Argentina,Gunmen,1,Yemen
Argentina,Gunmen,1,Yugoslavia
Argentina,Gunmen,1,Zimbabwe
Argentina,Neo-Nazi extremists,3,Australia
Argentina,Neo-Nazi extremists,3,Austria
Argentina,Neo-Nazi extremists,3,Brazil
Argentina,Neo-Nazi extremists,3,Canada
Argentina,Neo-Nazi extremists,3,Czech Republic
Argentina,Neo-Nazi extremists,3,Czechoslovakia
Argentina,Neo-Nazi extremists,3,East Germany (GDR)
Argentina,Neo-Nazi extremists,3,France
Argentina,Neo-Nazi extremists,3,Germany
Argentina,Neo-Nazi extremists,3,Italy
Argentina,Neo-Nazi extremists,3,Netherlands
Argentina,Neo-Nazi extremists,3,Norway
Argentina,Neo-Nazi extremists,3,Poland
Argentina,Neo-Nazi extremists,3,Portugal
Argentina,Neo-Nazi extremists,3,Russia
Argentina,Neo-Nazi extremists,3,Slovak Republic
Argentina,Neo-Nazi extremists,3,Spain
Argentina,Neo-Nazi extremists,3,Sweden
Argentina,Neo-Nazi extremists,3,United Kingdom
Argentina,Neo-Nazi extremists,3,United States
Argentina,Neo-Nazi extremists,3,West Germany (FRG)
Argentina,Neo-Nazi extremists,3,Yugoslavia
Argentina,Right-wing extremists,2,Austria
Argentina,Right-wing extremists,2,Bolivia
Argentina,Right-wing extremists,2,Brazil
Argentina,Right-wing extremists,2,Canada
Argentina,Right-wing extremists,2,Colombia
Argentina,Right-wing extremists,2,El Salvador
Argentina,Right-wing extremists,2,France
Argentina,Right-wing extremists,2,Germany
Argentina,Right-wing extremists,2,India
Argentina,Right-wing extremists,2,Italy
Argentina,Right-wing extremists,2,Jamaica
Argentina,Right-wing extremists,2,Japan
Argentina,Right-wing extremists,2,Netherlands
Argentina,Right-wing extremists,2,Nicaragua
Argentina,Right-wing extremists,2,Norway
Argentina,Right-wing extremists,2,Russia
Argentina,Right-wing extremists,2,Slovak Republic
Argentina,Right-wing extremists,2,South Africa
Argentina,Right-wing extremists,2,Spain
Argentina,Right-wing extremists,2,United States
Argentina,Right-wing extremists,2,Venezuela
Argentina,Right-wing extremists,2,West Germany (FRG)
Argentina,Right-wing extremists,2,Zimbabwe
Australia,Black September,5,Austria
Australia,Black September,5,Belgium
Australia,Black September,5,Brazil
Australia,Black September,5,Brunei
Australia,Black September,5,Cambodia
Australia,Black September,5,Canada
Australia,Black September,5,Cyprus
Australia,Black September,5,Egypt
Australia,Black September,5,France
Australia,Black September,5,Greece
Australia,Black September,5,Israel
Australia,Black September,5,Italy
Australia,Black September,5,Jordan
Australia,Black September,5,Kuwait
Australia,Black September,5,Lebanon
Australia,Black September,5,Netherlands
Australia,Black September,5,People's Republic of the Congo
Australia,Black September,5,Portugal
Australia,Black September,5,Spain
Australia,Black September,5,Sudan
Australia,Black September,5,Switzerland
Australia,Black September,5,Thailand
Australia,Black September,5,United Kingdom
Australia,Black September,5,United States
Australia,Black September,5,Uruguay
Australia,Black September,5,West Germany (FRG)
Australia,Black September,5,Zaire
Australia,Islamic State of Iraq and the Levant ISIL,1,Bahrain
Australia,Islamic State of Iraq and the Levant ISIL,1,Belgium
Australia,Islamic State of Iraq and the Levant ISIL,1,Egypt
Australia,Islamic State of Iraq and the Levant ISIL,1,France
Australia,Islamic State of Iraq and the Levant ISIL,1,Georgia
Australia,Islamic State of Iraq and the Levant ISIL,1,Germany
Australia,Islamic State of Iraq and the Levant ISIL,1,Indonesia
Australia,Islamic State of Iraq and the Levant ISIL,1,Iran
Australia,Islamic State of Iraq and the Levant ISIL,1,Iraq
Australia,Islamic State of Iraq and the Levant ISIL,1,Israel
Australia,Islamic State of Iraq and the Levant ISIL,1,Jordan
Australia,Islamic State of Iraq and the Levant ISIL,1,Kyrgyzstan
Australia,Islamic State of Iraq and the Levant ISIL,1,Lebanon
Australia,Islamic State of Iraq and the Levant ISIL,1,Libya
Australia,Islamic State of Iraq and the Levant ISIL,1,Malaysia
Australia,Islamic State of Iraq and the Levant ISIL,1,Philippines
Australia,Islamic State of Iraq and the Levant ISIL,1,Russia
Australia,Islamic State of Iraq and the Levant ISIL,1,Saudi Arabia
Australia,Islamic State of Iraq and the Levant ISIL,1,Somalia
Australia,Islamic State of Iraq and the Levant ISIL,1,Syria
Australia,Islamic State of Iraq and the Levant ISIL,1,Tajikistan
Australia,Islamic State of Iraq and the Levant ISIL,1,Tunisia
Australia,Islamic State of Iraq and the Levant ISIL,1,Turkey
Australia,Islamic State of Iraq and the Levant ISIL,1,United Kingdom
Australia,Islamic State of Iraq and the Levant ISIL,1,West Bank and Gaza Strip
Australia,Islamic State of Iraq and the Levant ISIL,1,Yemen
Australia,Jihadi-inspired extremists,10,Austria
Australia,Jihadi-inspired extremists,10,Azerbaijan
Australia,Jihadi-inspired extremists,10,Belgium
Australia,Jihadi-inspired extremists,10,Canada
Australia,Jihadi-inspired extremists,10,Chad
Australia,Jihadi-inspired extremists,10,Denmark
Australia,Jihadi-inspired extremists,10,Finland
Australia,Jihadi-inspired extremists,10,France
Australia,Jihadi-inspired extremists,10,Germany
Australia,Jihadi-inspired extremists,10,Indonesia
Australia,Jihadi-inspired extremists,10,Italy
Australia,Jihadi-inspired extremists,10,Jordan
Australia,Jihadi-inspired extremists,10,Kuwait
Australia,Jihadi-inspired extremists,10,Kyrgyzstan
Australia,Jihadi-inspired extremists,10,Malaysia
Australia,Jihadi-inspired extremists,10,Morocco
Australia,Jihadi-inspired extremists,10,Norway
Australia,Jihadi-inspired extremists,10,Philippines
Australia,Jihadi-inspired extremists,10,Russia
Australia,Jihadi-inspired extremists,10,South Africa
Australia,Jihadi-inspired extremists,10,Sweden
Australia,Jihadi-inspired extremists,10,Tajikistan
Australia,Jihadi-inspired extremists,10,Thailand
Australia,Jihadi-inspired extremists,10,Tunisia
Australia,Jihadi-inspired extremists,10,United Kingdom
Australia,Jihadi-inspired extremists,10,United States
Australia,Muslim extremists,1,Austria
Australia,Muslim extremists,1,Bahrain
Australia,Muslim extremists,1,Bangladesh
Australia,Muslim extremists,1,Belgium
Australia,Muslim extremists,1,Bosnia-Herzegovina
Australia,Muslim extremists,1,Burkina Faso
Australia,Muslim extremists,1,Cameroon
Australia,Muslim extremists,1,Canada
Australia,Muslim extremists,1,Central African Republic
Australia,Muslim extremists,1,Egypt
Australia,Muslim extremists,1,France
Australia,Muslim extremists,1,Germany
Australia,Muslim extremists,1,Greece
Australia,Muslim extremists,1,India
Australia,Muslim extremists,1,Indonesia
Australia,Muslim extremists,1,Iran
Australia,Muslim extremists,1,Iraq
Australia,Muslim extremists,1,Israel
Australia,Muslim extremists,1,Jordan
Australia,Muslim extremists,1,Kazakhstan
Australia,Muslim extremists,1,Kenya
Australia,Muslim extremists,1,Kuwait
Australia,Muslim extremists,1,Kyrgyzstan
Australia,Muslim extremists,1,Lebanon
Australia,Muslim extremists,1,Libya
Australia,Muslim extremists,1,Maldives
Australia,Muslim extremists,1,Mali
Australia,Muslim extremists,1,Mozambique
Australia,Muslim extremists,1,Myanmar
Australia,Muslim extremists,1,Netherlands
Australia,Muslim extremists,1,Niger
Australia,Muslim extremists,1,Nigeria
Australia,Muslim extremists,1,Pakistan
Australia,Muslim extremists,1,Philippines
Australia,Muslim extremists,1,Russia
Australia,Muslim extremists,1,Saudi Arabia
Australia,Muslim extremists,1,Somalia
Australia,Muslim extremists,1,South Africa
Australia,Muslim extremists,1,Spain
Australia,Muslim extremists,1,Sri Lanka
Australia,Muslim extremists,1,Sudan
Australia,Muslim extremists,1,Switzerland
Australia,Muslim extremists,1,Syria
Australia,Muslim extremists,1,Tanzania
Australia,Muslim extremists,1,Thailand
Australia,Muslim extremists,1,Tunisia
Australia,Muslim extremists,1,Turkey
Australia,Muslim extremists,1,Ukraine
Australia,Muslim extremists,1,United Kingdom
Australia,Muslim extremists,1,United States
Australia,Muslim extremists,1,West Bank and Gaza Strip
Australia,Muslim extremists,1,Yemen
Australia,Neo-Nazi extremists,1,Austria
Australia,Neo-Nazi extremists,1,Brazil
Australia,Neo-Nazi extremists,1,Canada
Australia,Neo-Nazi extremists,1,Czech Republic
Australia,Neo-Nazi extremists,1,Czechoslovakia
Australia,Neo-Nazi extremists,1,East Germany (GDR)
Australia,Neo-Nazi extremists,1,France
Australia,Neo-Nazi extremists,1,Germany
Australia,Neo-Nazi extremists,1,Italy
Australia,Neo-Nazi extremists,1,Netherlands
Australia,Neo-Nazi extremists,1,Norway
Australia,Neo-Nazi extremists,1,Poland
Australia,Neo-Nazi extremists,1,Portugal
Australia,Neo-Nazi extremists,1,Russia
Australia,Neo-Nazi extremists,1,Slovak Republic
Australia,Neo-Nazi extremists,1,Spain
Australia,Neo-Nazi extremists,1,Sweden
Australia,Neo-Nazi extremists,1,United Kingdom
Australia,Neo-Nazi extremists,1,United States
Australia,Neo-Nazi extremists,1,West Germany (FRG)
Australia,Neo-Nazi extremists,1,Yugoslavia
Austria,Black September,8,Belgium
Austria,Black September,8,Brazil
Austria,Black September,8,Brunei
Austria,Black September,8,Cambodia
Austria,Black September,8,Canada
Austria,Black September,8,Cyprus
Austria,Black September,8,Egypt
Austria,Black September,8,France
Austria,Black September,8,Greece
Austria,Black September,8,Israel
Austria,Black September,8,Italy
Austria,Black September,8,Jordan
Austria,Black September,8,Kuwait
Austria,Black September,8,Lebanon
Austria,Black September,8,Netherlands
Austria,Black September,8,People's Republic of the Congo
Austria,Black September,8,Portugal
Austria,Black September,8,Spain
Austria,Black September,8,Sudan
Austria,Black September,8,Switzerland
Austria,Black September,8,Thailand
Austria,Black September,8,United Kingdom
Austria,Black September,8,United States
Austria,Black September,8,Uruguay
Austria,Black September,8,West Germany (FRG)
Austria,Black September,8,Zaire
Austria,Jihadi-inspired extremists,1,Azerbaijan
Austria,Jihadi-inspired extremists,1,Belgium
Austria,Jihadi-inspired extremists,1,Canada
Austria,Jihadi-inspired extremists,1,Chad
Austria,Jihadi-inspired extremists,1,Denmark
Austria,Jihadi-inspired extremists,1,Finland
Austria,Jihadi-inspired extremists,1,France
Austria,Jihadi-inspired extremists,1,Germany
Austria,Jihadi-inspired extremists,1,Indonesia
Austria,Jihadi-inspired extremists,1,Italy
Austria,Jihadi-inspired extremists,1,Jordan
Austria,Jihadi-inspired extremists,1,Kuwait
Austria,Jihadi-inspired extremists,1,Kyrgyzstan
Austria,Jihadi-inspired extremists,1,Malaysia
Austria,Jihadi-inspired extremists,1,Morocco
Austria,Jihadi-inspired extremists,1,Norway
Austria,Jihadi-inspired extremists,1,Philippines
Austria,Jihadi-inspired extremists,1,Russia
Austria,Jihadi-inspired extremists,1,South Africa
Austria,Jihadi-inspired extremists,1,Sweden
Austria,Jihadi-inspired extremists,1,Tajikistan
Austria,Jihadi-inspired extremists,1,Thailand
Austria,Jihadi-inspired extremists,1,Tunisia
Austria,Jihadi-inspired extremists,1,United Kingdom
Austria,Jihadi-inspired extremists,1,United States
Austria,Muslim extremists,1,Bahrain
Austria,Muslim extremists,1,Bangladesh
Austria,Muslim extremists,1,Belgium
Austria,Muslim extremists,1,Bosnia-Herzegovina
Austria,Muslim extremists,1,Burkina Faso
Austria,Muslim extremists,1,Cameroon
Austria,Muslim extremists,1,Canada
Austria,Muslim extremists,1,Central African Republic
Austria,Muslim extremists,1,Egypt
Austria,Muslim extremists,1,France
Austria,Muslim extremists,1,Germany
Austria,Muslim extremists,1,Greece
Austria,Muslim extremists,1,India
Austria,Muslim extremists,1,Indonesia
Austria,Muslim extremists,1,Iran
Austria,Muslim extremists,1,Iraq
Austria,Muslim extremists,1,Israel
Austria,Muslim extremists,1,Jordan
Austria,Muslim extremists,1,Kazakhstan
Austria,Muslim extremists,1,Kenya
Austria,Muslim extremists,1,Kuwait
Austria,Muslim extremists,1,Kyrgyzstan
